customer_id,name,postcode,phone_number
100075,Robert Dabestan,6152,043324520
100076,Lok Crawshaw,6153,043209870
100077,Renee Kamiyama,6184,043062892
100078,Kirsten Sands,6143,047570927
100079,Luke Russon,6142,049105366
100080,Rashika Lui,6110,049486964
100081,Lok Wild,6149,042803462
100082,John Davey,6136,047122162
100083,Luke Glassock,6182,045280966
100084,Alan Jones,6115,045899257
100085,Albert Baker,6125,047167779
100086,Charles Cheeseman,6156,046795062
100087,Philip Stevenson,6148,042863943
100088,Rashika Tamura,6159,047349138
100089,Christopher Kiely,6146,043878559
100090,Edward Mohamud Haji,6123,043423387
100091,Martin How,6111,044831250
100092,Given Names Harris,6126,048217358
100093,Marc Coughran,6131,048230316
100094,Shaquille Kernutt,6132,047606521
100095,Samuel Carabetta,6171,048234176
100096,Mahomed Tamura,6140,044072563
100097,Felicity Owen,6145,046844831
100098,Zayd Henry,6183,045308453
100099,Benjamin Pindur,6146,045205187
100100,Darryl Douglas,6109,047839661
100101,Stewart Lui,6104,040602717
100102,Peter Mcleod,6130,041135546
100103,Ross Dunne,6186,041268453
100104,Alan Crawshaw,6160,042515189
100105,San Tamura,6176,041572911
100106,Jaydan Pettit,6141,042318236
100107,Frank Hicks,6118,045792958
100108,Forrester Ryder,6172,040203868
100109,Mark Evans,6139,043620092
100110,Justin Pindur,6184,040095949
100111,Patrick Candy,6108,041718714
100112,Amanda Wilson,6163,043256032
100113,Timothy Thompson,6176,046643115
100114,Karani Mohamud Haji,6134,040516888
100115,Lok Tadic,6147,043451191
100116,Benjamin Keele,6134,045713146
100117,Khalid Brookshaw,6093,048368409
100118,Charles Criddle,6109,047596839
100119,Kyle Tacken,6186,047033424
100120,Lee Steere,6133,041881159
100121,Stephen Pople,6134,049015358
100122,Frank Berdin,6177,046012339
100123,Troy Evans,6145,040879316
100124,Stephen Cooper,6152,046522839
100125,Garth Turner,6157,043888886
100126,Alan Keele,6178,045156560
100127,Sean Holtz,6117,041563800
100128,David Shintani,6109,045011919
100129,Alex Matisons,6138,049076050
100130,Justin Lui,6194,042617899
100131,Thomas Manlio,6137,046063406
100132,Roman Chiu,6100,049783315
100133,Seiti Tompsett,6181,046665478
100134,Kyle Seferovic,6218,046528796
100135,Zayd Manganaro,6105,041482761
100136,Jake McLeary,6160,043585937
100137,Joshua Kiely,6145,041255243
100138,Scott Mace,6119,040567929
100139,Boyd Capes,6159,042300106
100140,Gavin Njovu,6120,048245701
100141,Timothy Dwyer,6148,046771536
100142,Roman Datta Roy,6095,040408737
100143,Alexander Beermier,6120,046377568
100144,Craig Pindur,6159,046704784
100145,Kirsten Dabestan,6108,041003102
100146,Mark Xu,6101,047091327
100147,Swoorup Harris,6149,047509452
100148,Jake Henry,6175,047458886
100149,Karani Dodani,6131,049413212
100150,Alex Beermier,6154,046141976
100151,Khalid Foster,6099,048363696
100152,Siera Mcleod,6176,043631035
100153,Daniel Brookshaw,6140,042229120
100154,Stephen Mcleod,6118,046509687
100155,Daniel Subasinghe Arrachchi,6099,043493654
100156,Frank Herne,6117,044652602
100157,Gianni Impson,6155,044923261
100158,Rae Thompson,6140,044373379
100159,Brian Tolman,6184,046332818
100160,Adnan Douglas,6145,042493978
100161,Stuart Ryder,6167,046700468
100162,Rhys Kernutt,6197,040145511
100163,Liana Keele,6185,043168128
100164,Scott Benstead,6109,048228028
100165,Vu Dabestan,6134,042555286
100166,Swoorup Tolman,6106,049898810
100167,Welsley Stevenson,6133,041201000
100168,Troy Crawshaw,6198,047664585
100169,Sarah Holling,6186,042993402
100170,Brian Berry,6133,044776276
100171,Tanner Mohammed,6177,041438301
100172,Michael Borowitzka,6151,043112166
100173,Justin Criddle,6126,049662583
100174,Augusto Russon,6149,047756666
100175,Edward Kroon,6109,040518284
100176,Charles Kandiah,6086,045915080
100177,Raymond Millard-Smith,6133,047773492
100178,Christine Wild,6176,049782808
100179,Alric Lo,6182,044935190
100180,Liana Eng,6179,040350634
100181,Mark Crabtree,6137,049586139
100182,Seiti Turpin,6144,047144580
100183,Jonathan Ryan,6140,045018585
100184,Liana Eng,6107,047558833
100185,Adrian Glover,6125,042171379
100186,Patrick Gwee,6156,048825402
100187,Sean Kamiyama,6149,047755251
100188,Charles Criddle,6137,046704883
100189,Alexander Ng,6169,046774534
100190,Luke Pettit,6210,044793968
100191,Amanda Gregory,6155,040444385
100192,Umar Henry,6162,048557529
100193,Gai-Yeen Barrett,6102,048134572
100194,Brodie Holling,6157,041444445
100195,Roman Johnson,6205,040836884
100196,San Khozjainov,6136,047859388
100197,Benjamin Le,6120,047129339
100198,Rhys Davey,6096,049937514
100199,Welsley Klinac,6077,041995123
100200,Rowan Pople,6175,047609801
